,name,link,sponsoring_researchers,institution,fields_of_research,deadline,
135,Predoctoral Fellow,https://bit.ly/3ESuS0C,Amanda Pallais,Harvard University,"Economics, labor economics",,
136,Behavioral Research Fellow,https://bit.ly/3s1hrnr,"Angela Lee, Derek Rucker, Aparna Labroo, Ulf Böckenholt, and others in the Marketing Department",Northwestern University (Kellogg School of Management),"Behavioral Marketing, Social Psychology",,
137,Behavioral Research Fellow,https://bit.ly/3s1hrnr,"Ivy Onyeador, Nicole Stephens, Maryam Kouchaki, and others in the Management &amp; Organizations Department",Northwestern University (Kellogg School of Management),Organizational Behavior,,
138,Pre-Doctoral Technical Associate,https://bit.ly/3VEmEii,Antoinette Schoar,MIT Sloan School of Management,"FinTech, Cryptocurrency and Blockchain, Consumer Finance, and Financial Intermediation",,
139,Research Fellow (Computational Science),https://stanford.io/3D4FurT,RegLab Research Team,"The Regulation, Evaluation, and Governance Lab (RegLab) at Stanford University","Machine learning, data science, public sector, governance",,
140,Empirical Research Fellow,https://bit.ly/3ilyU5m,"David Matsa, Jacopo Ponticelli, Sean Higgins, Filippo Mezzanotti, etc.","Finance Department, Kellogg School of Management, Northwestern University",Finance,,
141,Research Professional,https://bit.ly/3MAwWfv,Anna Costello and Christopher Stewart,The University of Chicago Booth School of Business,Accounting,,
142,Research Professional,https://bit.ly/3D3zqzF,Kilian Huber,The University of Chicago Booth School of Business,"Macroeconomics, Finance",,
143,Predoctoral Research Analyst,https://bit.ly/3T27VMI,Uli Doraszelski and Leon Musolff,University of Pennsylvania (The Wharton School),Industrial Organization,,
144,Predoctoral Research Analyst,https://bit.ly/3T27VMI,"<span style=""background-color: #ffffff; color: #000000;"">Ben Lockwood and Alex Rees-Jones</span>",University of Pennsylvania (The Wharton School),Public Economics,,
145,Predoctoral Research Analyst,https://bit.ly/3T27VMI,Judd Kessler and Corinne Low,University of Pennsylvania (The Wharton School),Behavioral Environmental/Experimental Economics,,
146,Predoctoral Research Analyst,https://bit.ly/3T27VMI,Arthur van Benthem and Susanna Berkouwer,University of Pennsylvania (The Wharton School),Energy and Environmental/Development Economics,,
147,Research Scientist,https://bit.ly/3ERc7uc,David Yermack,"Institutions: NYU Stern School of Business &amp; the Fubon Center for Technology, Business, and Innovation",Topics related to decentralized finance research: asset pricing; financial intermediation; corporate finance; banking operations; payments systems; insurance; and DAOs,,
148,Research Professional,https://bit.ly/3eASFr5,Eyal Frank,The Energy Policy Institute at the University of Chicago,"Social costs of biodiversity losses, conservation policy evaluations, links between ecology and human well-being",,
149,Senior Research Support Associate,https://bit.ly/3Tfm9Jz,"Nikhil Agarwal, Josh Angrist, and Parag Pathak",MIT,"Economics, education, health care",,
150,Pre-doctoral Research Assistant,https://bit.ly/3yBtmMt,"Luigi Butera, Chen Lian, Dmitry Taubinksy",UC Berkeley,"Public economics, behavioral economics, macroeconomics",,
151,Psychology Research Assistant,https://bit.ly/3URs6hB,Dr. Maggie O'Haire,University of Arizona,"Psychology, Public Health, PTSD",,
152,Research Professional,https://bit.ly/3S5YqLf,Yana Gallen and Juanna Joensen,Sponsoring  The Becker Friedman Institute for Economics at the University of Chicago,Labor and public economics,,
153,Research Assistant,https://bit.ly/3STaDUv,"Richard Freeman, Yang You, and Jörn Boehnke",Sponsoring  NBER &amp; Harvard University,"Econometrics and Statistics, Economic fluctuations, including the Great Recession, the shock of COVID-19, the post-COVID recovery, and upsurge of inflation.",,
154,Full-Time Predoctoral Fellow,https://bit.ly/3fHzBHU,Zack Cooper,Sponsoring  Yale University,Health Care in the U.S.,,
155,Pre-doctoral Research Associate,https://bit.ly/3fGtYK2,"Gideon Bornstein, Sasha Indarte, and Sergio Salgado","Sponsoring  Wharton School, University of Pennsylvania ",Financial Economics,,
156,Psychology Research Assistant,https://bit.ly/3URs6hB,Maggie O’Haire,Sponsoring  University of Arizona,"Psychology, Public Health, PTSD",,
157,Predoctoral Fellow,https://bit.ly/3CmkvQQ,Joshua Krieger and Kyle Myers,Sponsoring  Harvard Business School,"Economics, innovation, technology",,
158,Predoc Fellow in Healthcare Research & Infectious Disease Modeling,https://bit.ly/3E8QyVW,"Jennifer Allsworth, Sharif Aly, Magid Bani-Yaghoub, Md Yusuf Sarwar Uddin, and Pranav Sudhir Pandit","Sponsoring  University of Missouri-Kansas City &amp; University of California, Davis","Behavioral Science, Statistics",,
159,Predoc in Economics and Computation,https://bit.ly/3SlG75i,Microsoft Research Economics and Computation Group,Sponsoring  Microsoft Research,"Microeconomic Theory, Applied Microeconomics, and Statistics &amp; Econometrics",,
160,Research Professional,https://bit.ly/3fh69s5,"Magne Mogstad, Manasi Deshpande, and Evan Rose",Sponsoring  The Becker Friedman Institute for Economics at the University of Chicago,"Applied econometrics, labor, and public economics",,
161,Research Fellows,https://law.stanford.edu/research/sls-fellowships/empirical-research-fellowship/#slsnav-description,John J. Donohue &amp; Daniel Klesser,Sponsoring  Stanford Law School,"Law &amp; economics, applied microeconomics, health economics, economics of crime",,
162,Research Professional,https://bit.ly/3BBm6AC,Eric Zwick,Sponsoring  The Becker Friedman Institute for Economics at the University of Chicago,"Finance, fiscal policy, COVID-19",,
163,Senior Research Specialist,https://bit.ly/3f82kFt,"Mark Aguiar, Gene Grossman, and Stephen Redding","Sponsoring  Princeton University, International Finance Section",International Economics,,
164,Research Assistant,https://bit.ly/3Sgc9zn,"Department of Economics Research, PhD economists",Sponsoring  Federal Reserve Bank of San Francisco ,"Macroeconomics, microeconomics, monetary economics, finance, international, sustainable growth",,
165,Research Specialist,https://bit.ly/3SchwQd,"Henrick Kleven, Ilyana Kuziemko, and Owen Zidar","Sponsoring  Princeton University, Program in Public Finance","Public economics, wealth inequality, gender equality, regional economic development, political economy, social insurance, tax policy",,
166,Research Professional,https://bit.ly/3B8UpPm,Chicago Booth Economics faculty,Sponsoring  The University of Chicago Booth School of Business,"Microeconomics, macroeconomics, finance, public policy, behavioral science",,
167,Predoctoral Research Specialist,https://bit.ly/3qAVydN,Atif Milan,"Sponsoring  Princeton University, Julis-Rabinowitz Center for Public Policy &amp; Finance","Applied Macroeconomics, Finance, Policy",,
168,Research Professional,https://bit.ly/3lKJlQT,Luigi Zingales,"Sponsoring  University of Chicago Booth School of Business, Stigler Center","Economics, Political Economy, Finance, Public Policy",,
169,Research Assistant,https://bit.ly/3dxRw2G,Sponsoring Researcher(s): EPI economists and policy analysts,"Economic Policy Institute, Program on Race, Ethnicity, and Economy (PREE)","Macroeconomics, Health Economics, Workforce/Labor Economics, Welfare, Policy Analysis, Inequality, Racial and Gender Disparities",,
170,"Research Assistant, Social-Science Genoeconomics (Summer 2023)",https://bit.ly/3zDsgzw,"Dan Benjamin (UCLA), David Cesarini (NYU), David Laibson (Harvard)",National Bureau of Economic Research,"Microeconomics, genoeconomics",,
171,"Research Assistant, Behavioral Economics (Summer 2023)",https://bit.ly/3vBPnt2,"Dan Benjamin (UCLA), Miles Kimball (University of Colorado Boulder), Ori Heffetz (Cornell University and Hebrew University of Jerusalem), Kristen Cooper (Gordon College)",National Bureau of Economic Research and UCLA,"Microeconomics, subjective wellbeing",,
172,Project Specialist,https://bit.ly/3Iqr9Hq,Sponsoring researcher: Ashlesha Datar,"Center for Economic and Social Research, University of Southern California","Health economics, public policy, social policy, urban economics",,
173,Research Specialist (Behavioral Research),https://bit.ly/3IoGMyI,"Tami Kim, Roshni Raveendhran","Darden Graduate School of Business, University of Virginia",Behavioral science,,
174,Full-Time Research Professional,https://bit.ly/3zKY5Yv,Margarita Tsoutsoura,Washington University in St. Louis,"Corporate finance, entrepreneurship",,
175,Full-Time Research Professional,https://bit.ly/3mnPpj5,"<span>Daniel Wolfenzon, Margarita Tsoutsoura, Morten Bennedsen</span>",Columbia University,Corporate Finance,,
176,Staff Associate (Predoctoral Fellow): Management Division,https://bit.ly/3MF2LTb,"Dan Wang, Mabel Abraham, Vanessa Burbano, Sandra Matz, and others",Columbia Business School,"Fields of research: Organizational theory, strategy, sociology, economics, entrepreneurship, gender and diversity in organizations",,
177,Laboratory Coordinator,https://bit.ly/3vdHVTJ,Adam Grabell,"
        The University of Massachusetts, Amherst","Child psychology, clinical psychology",,
178,Pre-Doctoral Research Fellow,https://bit.ly/3tdhxcW,Juan Camilo Castillo and Pinar Yildirim,"The University of Pennsylvania, Wharton School","Industrial organization, online platforms, digital markets",,
179,Research Professional,https://bit.ly/3waKat0,All Assistant Professors,New York University Stern School of Business,Marketing,,
180,Staff Associate: Economics,https://bit.ly/3Ja70oo,Abby Joseph Cohen,Columbia Business School ,"Economics, Macroeconomics",,
181,Pre-doctoral Researcher,https://bit.ly/31qxBwE,Rahul Bhui and Abdullah Almaatouq,MIT Sloan School of Management,Behavioral economics and collective intelligence,,may 
